nome_repo,n_estrelas,d_criacao,d_atualizacao,n_releases,linguagem,n_issues,n_issues_fechadas,n_pull_requests
florinpop17/app-ideas,66558,2019-02-25T18:36:56Z,2023-08-23T00:01:44Z,0,,115,38,536
moby/moby,66531,2013-01-18T18:10:57Z,2023-08-22T17:52:15Z,139,Go,22092,18409,47145
webpack/webpack,63443,2012-03-10T10:08:14Z,2023-08-23T00:20:58Z,404,JavaScript,9619,9426,16335
jaywcjlove/awesome-mac,62898,2016-07-17T15:33:47Z,2023-08-22T23:21:43Z,6,JavaScript,378,273,1929
home-assistant/core,62401,2013-09-17T07:29:48Z,2023-08-22T22:16:29Z,1000,Python,40926,38853,65608
coder/code-server,61719,2019-02-27T16:50:41Z,2023-08-22T23:56:55Z,120,TypeScript,3285,2994,3609
tiangolo/fastapi,61705,2018-12-08T08:21:47Z,2023-08-22T21:42:38Z,163,Python,3345,3325,3160
expressjs/express,61675,2009-06-26T18:56:01Z,2023-08-22T23:07:11Z,147,JavaScript,3753,3628,5776
chartjs/Chart.js,61534,2013-03-17T23:56:36Z,2023-08-22T17:16:23Z,105,JavaScript,6909,6631,4469
redis/redis,61152,2009-03-21T22:32:25Z,2023-08-22T22:00:02Z,57,C,6133,4207,11832
resume/resume.github.com,60591,2011-02-06T13:39:55Z,2023-08-22T21:12:48Z,0,JavaScript,111,59,263
protocolbuffers/protobuf,60504,2014-08-26T15:52:15Z,2023-08-22T22:41:41Z,139,C++,5682,4947,12447
home-assistant/core,62401,2013-09-17T07:29:48Z,2023-08-22T22:16:29Z,1000,Python,40926,38853,65608
base-org/node,61786,2023-02-01T13:55:02Z,2023-08-23T00:03:28Z,13,Shell,41,33,56
coder/code-server,61719,2019-02-27T16:50:41Z,2023-08-22T23:56:55Z,120,TypeScript,3285,2994,3609
tiangolo/fastapi,61705,2018-12-08T08:21:47Z,2023-08-22T21:42:38Z,163,Python,3345,3325,3160
expressjs/express,61675,2009-06-26T18:56:01Z,2023-08-22T23:07:11Z,147,JavaScript,3753,3628,5776
chartjs/Chart.js,61534,2013-03-17T23:56:36Z,2023-08-22T17:16:23Z,105,JavaScript,6909,6631,4469
