nome_repo,n_estrelas,d_criacao,d_atualizacao,n_releases,linguagem,n_issues,n_issues_fechadas,n_pull_requests
square/retrofit,41922,2010-09-06T21:39:43Z,2023-08-22T23:39:50Z,0,Java,2647,2493,2077
NationalSecurityAgency/ghidra,41872,2019-03-01T03:27:48Z,2023-08-22T21:28:41Z,29,Java,4056,2822,10187
AntonOsika/gpt-engineer,41863,2023-04-29T12:52:15Z,2023-08-23T00:10:52Z,7,Python,295,245,405
justjavac/awesome-wechat-weapp,41861,2016-09-22T20:04:48Z,2023-08-22T13:45:46Z,0,,0,0,602
Avik-Jain/100-Days-Of-ML-Code,41665,2018-07-05T09:11:43Z,2023-08-23T00:04:39Z,0,,0,0,109
kamranahmedse/design-patterns-for-humans,41663,2017-02-16T21:24:39Z,2023-08-22T23:59:07Z,0,,50,47,141
x64dbg/x64dbg,41381,2015-04-11T20:48:23Z,2023-08-22T22:41:28Z,3,C++,2335,1785,5158
vercel/hyper,41376,2016-07-01T06:01:21Z,2023-08-23T00:22:13Z,88,TypeScript,3688,2844,3736
commaai/openpilot,41360,2016-11-24T01:33:30Z,2023-08-22T23:31:07Z,52,Python,2278,2049,10320
golang-standards/project-layout,41305,2017-09-09T16:33:26Z,2023-08-22T23:27:50Z,0,Makefile,102,36,276
youngyangyang04/leetcode-master,41272,2019-12-14T12:05:42Z,2023-08-22T18:39:06Z,0,Shell,180,56,7044
Yidadaa/ChatGPT-Next-Web,41271,2023-03-10T18:27:54Z,2023-08-22T22:55:36Z,44,TypeScript,1612,1591,1335
yarnpkg/yarn,41251,2016-01-19T17:39:16Z,2023-08-22T22:21:02Z,150,JavaScript,6491,4660,2353
k88hudson/git-flight-rules,41217,2014-07-22T20:35:09Z,2023-08-22T18:27:29Z,0,,72,54,444
rust-lang/rustlings,41103,2015-09-15T02:25:18Z,2023-08-22T23:42:34Z,37,Rust,512,405,1911
marktext/marktext,41081,2017-11-12T16:05:25Z,2023-08-22T23:38:53Z,36,JavaScript,2595,1610,1605
ultralytics/yolov5,41007,2020-05-18T03:45:11Z,2023-08-23T00:08:47Z,10,Python,8341,8191,2694
ngosang/trackerslist,40987,2016-04-24T11:57:57Z,2023-08-22T18:15:37Z,0,,391,385,2830
pixijs/pixijs,40717,2013-01-21T22:40:50Z,2023-08-22T23:57:20Z,206,TypeScript,5226,5069,6508
minio/minio,40469,2015-01-14T19:23:58Z,2023-08-22T23:35:41Z,413,Go,6707,6687,10986
lencx/ChatGPT,40410,2022-12-07T09:43:02Z,2023-08-22T20:41:24Z,34,Rust,770,300,625
massgravel/Microsoft-Activation-Scripts,40365,2020-01-12T23:03:34Z,2023-08-23T00:18:14Z,7,Batchfile,179,179,89
PowerShell/PowerShell,40360,2016-01-13T23:41:35Z,2023-08-23T00:14:28Z,146,C#,11369,7972,10250
bailicangdu/vue2-elm,40299,2016-12-23T01:49:20Z,2023-08-23T00:26:38Z,0,Vue,620,508,511
binary-husky/gpt_academic,40024,2023-03-20T09:05:13Z,2023-08-22T23:17:27Z,21,Python,890,576,1401
iamadamdev/bypass-paywalls-chrome,39888,2018-04-07T20:33:19Z,2023-08-22T23:30:44Z,33,JavaScript,999,999,624
agalwood/Motrix,39829,2018-12-18T11:45:05Z,2023-08-22T18:52:37Z,21,JavaScript,1191,555,1170
rclone/rclone,39790,2014-03-16T16:19:57Z,2023-08-22T21:26:44Z,95,Go,4982,4160,7266
nwjs/nw.js,39782,2012-01-04T06:21:10Z,2023-08-22T20:42:39Z,0,JavaScript,7231,6348,5026
Alamofire/Alamofire,39692,2014-07-31T05:56:19Z,2023-08-22T19:31:53Z,95,Swift,2699,2662,1601
BurntSushi/ripgrep,39601,2016-03-11T02:02:33Z,2023-08-22T23:07:47Z,66,Rust,1486,1349,1821
vuejs/core,39595,2018-06-12T13:49:36Z,2023-08-22T23:34:08Z,156,TypeScript,4290,3573,5029
Unitech/pm2,39529,2013-05-21T03:25:25Z,2023-08-23T00:00:17Z,120,JavaScript,4787,4004,4998
pandas-dev/pandas,39474,2010-08-24T01:37:33Z,2023-08-23T00:23:12Z,99,Python,25011,21587,33147
styled-components/styled-components,39398,2016-08-16T06:41:32Z,2023-08-22T21:20:53Z,154,TypeScript,2765,2576,3549
jakevdp/PythonDataScienceHandbook,39320,2016-08-10T14:24:36Z,2023-08-23T00:22:03Z,0,Jupyter Notebook,181,75,235
apache/dubbo,39284,2012-06-19T07:56:02Z,2023-08-22T17:22:20Z,87,Java,6420,5517,7021
facebookresearch/llama,39064,2023-02-14T09:29:12Z,2023-08-23T00:13:42Z,0,Python,585,163,29
huginn/huginn,39062,2013-03-10T06:00:31Z,2023-08-22T23:50:57Z,1,Ruby,2062,1456,3669
dypsilon/frontend-dev-bookmarks,38967,2013-06-22T13:23:55Z,2023-08-23T00:23:18Z,1,,101,82,390
Dogfalo/materialize,38831,2014-09-12T19:35:38Z,2023-08-22T14:54:14Z,41,JavaScript,5219,4596,3878
grpc/grpc,38758,2014-12-08T18:58:53Z,2023-08-22T22:58:56Z,264,C++,10894,10301,53598
ggerganov/llama.cpp,38736,2023-03-10T18:58:00Z,2023-08-23T00:21:51Z,641,C,1114,723,1028
isocpp/CppCoreGuidelines,38604,2015-08-19T20:22:52Z,2023-08-22T22:09:55Z,4,Python,1108,881,2113
dcloudio/uni-app,38503,2018-07-12T08:52:39Z,2023-08-22T10:08:06Z,0,JavaScript,4046,2895,10229
discourse/discourse,38491,2013-01-12T00:25:55Z,2023-08-22T19:15:50Z,0,Ruby,0,0,50711
hashicorp/terraform,38467,2014-03-13T22:25:48Z,2023-08-22T22:29:41Z,260,Go,20045,18328,31443
meilisearch/meilisearch,38406,2018-04-23T11:45:28Z,2023-08-22T23:14:38Z,148,Rust,1583,1472,8417
poteto/hiring-without-whiteboards,38242,2017-03-15T05:09:01Z,2023-08-22T22:59:12Z,0,JavaScript,0,0,2020
Leaflet/Leaflet,38228,2010-09-22T16:57:44Z,2023-08-22T19:17:42Z,31,JavaScript,5063,4696,7702
jesseduffield/lazygit,38217,2018-05-19T00:53:06Z,2023-08-23T00:12:50Z,148,Go,1465,980,4691
google/zx,38193,2021-05-05T05:50:01Z,2023-08-22T20:12:12Z,58,JavaScript,351,304,488
GitSquared/edex-ui,38111,2017-01-28T09:35:02Z,2023-08-23T00:13:44Z,29,JavaScript,559,553,1428
romkatv/powerlevel10k,38081,2019-02-24T19:09:45Z,2023-08-22T21:39:30Z,32,Shell,2199,2171,4192
yangshun/front-end-interview-handbook,38074,2018-01-13T19:40:08Z,2023-08-22T19:41:12Z,0,MDX,93,75,642
laurent22/joplin,38034,2017-01-16T21:49:41Z,2023-08-22T22:59:22Z,299,TypeScript,5556,5242,9764
go-gitea/gitea,37996,2016-11-01T02:13:26Z,2023-08-22T23:49:47Z,174,Go,11519,9406,16223
Asabeneh/30-Days-Of-JavaScript,37940,2019-12-23T14:07:40Z,2023-08-22T21:33:47Z,0,JavaScript,133,52,567
faif/python-patterns,37929,2012-06-06T21:02:35Z,2023-08-22T18:43:06Z,0,Python,84,73,830
FFmpeg/FFmpeg,37897,2011-04-14T14:12:38Z,2023-08-22T23:45:01Z,0,C,0,0,111798
wagoodman/dive,37879,2018-05-13T15:44:01Z,2023-08-23T00:03:17Z,25,Go,290,162,477
streamich/react-use,37830,2018-10-27T10:16:05Z,2023-08-22T21:53:13Z,249,TypeScript,549,228,2947
vuetifyjs/vuetify,37726,2016-09-12T00:39:35Z,2023-08-22T23:14:49Z,497,TypeScript,12631,11651,14605
AppFlowy-IO/AppFlowy,37551,2021-06-16T12:56:48Z,2023-08-23T00:02:00Z,41,Dart,1439,943,4505
fastlane/fastlane,37448,2014-12-02T17:00:38Z,2023-08-22T21:34:47Z,533,Ruby,12635,12284,16431
facebookresearch/segment-anything,37421,2023-03-23T17:03:03Z,2023-08-22T23:15:27Z,0,Jupyter Notebook,445,119,46
nocodb/nocodb,37397,2017-10-29T18:51:48Z,2023-08-22T22:26:05Z,113,TypeScript,2368,1868,15633
akullpp/awesome-java,37392,2014-07-09T10:12:43Z,2023-08-22T22:52:29Z,0,,121,121,1641
hexojs/hexo,37299,2012-09-23T15:17:08Z,2023-08-22T22:12:26Z,109,JavaScript,3861,3796,3591
impress/impress.js,37298,2011-12-28T22:23:19Z,2023-08-22T18:47:56Z,15,JavaScript,473,415,413
firstcontributions/first-contributions,37185,2016-09-20T14:35:09Z,2023-08-22T23:24:53Z,0,,614,594,20967
alex/what-happens-when,37131,2013-11-07T04:30:06Z,2023-08-22T17:18:04Z,0,,187,35,294
louislam/uptime-kuma,37113,2021-07-03T01:02:42Z,2023-08-22T22:20:49Z,90,JavaScript,2491,1644,4577
gorhill/uBlock,37058,2015-04-01T17:51:11Z,2023-08-23T00:02:50Z,288,JavaScript,3450,3437,11298
topjohnwu/Magisk,36998,2016-09-08T12:42:53Z,2023-08-23T00:18:56Z,128,C++,5028,5012,6449
brillout/awesome-react-components,36877,2016-06-24T15:19:33Z,2023-08-23T00:23:23Z,0,,45,44,915
Homebrew/brew,36844,2016-03-06T05:08:38Z,2023-08-23T00:09:06Z,323,Ruby,4114,4091,36766
PhilJay/MPAndroidChart,36732,2014-04-25T14:29:47Z,2023-08-22T21:27:34Z,44,Java,4888,2876,2070
quilljs/quill,36727,2012-07-30T23:23:18Z,2023-08-22T20:45:17Z,82,TypeScript,3224,1953,5455
imartinez/privateGPT,36549,2023-05-02T09:15:31Z,2023-08-23T00:19:02Z,0,Python,563,167,123
apache/spark,36508,2014-02-25T08:00:08Z,2023-08-22T20:27:10Z,0,Scala,0,0,37824
serhii-londar/open-source-mac-os-apps,36490,2017-11-03T02:35:33Z,2023-08-22T22:47:57Z,0,,188,145,1282
FreeCodeCampChina/freecodecamp.cn,36444,2016-09-30T03:13:43Z,2023-08-22T16:48:14Z,0,CSS,584,444,8845
react-hook-form/react-hook-form,36422,2019-03-05T23:47:10Z,2023-08-22T20:59:04Z,530,TypeScript,3953,3946,3511
rust-unofficial/awesome-rust,36407,2014-07-17T10:45:10Z,2023-08-23T00:23:32Z,0,Rust,126,115,4119
kelseyhightower/kubernetes-the-hard-way,36304,2016-07-07T14:15:27Z,2023-08-22T23:04:44Z,0,,375,292,285
RocketChat/Rocket.Chat,36236,2015-05-19T07:36:09Z,2023-08-22T23:08:39Z,812,TypeScript,15216,12815,24159
apachecn/ailearning,36194,2017-02-25T08:53:02Z,2023-08-22T20:49:40Z,2,Python,107,104,234
nlohmann/json,36177,2013-07-04T08:47:49Z,2023-08-22T22:59:41Z,43,C++,2148,2077,4539
nolimits4web/swiper,36138,2012-03-14T19:11:45Z,2023-08-22T22:08:23Z,52,JavaScript,5093,4902,3503
floodsung/Deep-Learning-Papers-Reading-Roadmap,36110,2016-10-14T11:49:48Z,2023-08-22T22:49:33Z,0,Python,53,4,114
dkhamsing/open-source-ios-apps,36086,2015-01-26T23:32:34Z,2023-08-22T22:48:03Z,37,,260,260,7044
videojs/video.js,36053,2010-05-14T18:45:10Z,2023-08-22T12:37:08Z,291,JavaScript,5090,4651,3989
TanStack/query,35955,2019-09-10T19:23:58Z,2023-08-22T21:33:44Z,640,TypeScript,1394,1361,2117
evanw/esbuild,35862,2016-06-14T16:08:50Z,2023-08-22T17:17:27Z,266,Go,2929,2637,3881
type-challenges/type-challenges,35849,2020-07-23T14:33:11Z,2023-08-22T23:21:03Z,0,TypeScript,29010,2927,888
php/php-src,35841,2011-06-16T01:52:25Z,2023-08-22T22:57:31Z,0,C,1792,1377,133031
chubin/cheat.sh,35832,2017-05-07T21:40:56Z,2023-08-22T22:04:52Z,0,Python,232,125,901
skylot/jadx,35824,2013-03-18T17:08:21Z,2023-08-23T00:15:40Z,28,Java,1502,1169,2053
starship/starship,35760,2019-04-02T03:23:12Z,2023-08-22T19:28:52Z,122,Rust,1917,1468,2899
Kong/kong,35753,2014-11-17T23:56:08Z,2023-08-22T20:38:29Z,132,Lua,4150,3959,9694
jeecgboot/jeecg-boot,35645,2018-11-26T10:40:00Z,2023-08-22T23:31:42Z,29,Java,4493,4471,945
ruanyf/weekly,35642,2018-10-13T12:36:07Z,2023-08-22T23:41:08Z,0,,3243,634,529
jgraph/drawio,35601,2016-09-06T12:59:15Z,2023-08-22T23:12:26Z,758,JavaScript,3138,2763,1892
slatedocs/slate,35399,2013-09-13T22:15:24Z,2023-08-22T21:14:19Z,28,SCSS,605,556,703
microsoft/monaco-editor,35296,2016-06-07T16:56:31Z,2023-08-22T22:39:32Z,0,JavaScript,3306,2960,3281
google/styleguide,35282,2015-05-20T19:18:59Z,2023-08-22T21:29:37Z,0,HTML,320,124,500
0voice/interview_internal_reference,35275,2019-06-10T06:54:19Z,2023-08-22T14:07:29Z,0,Python,45,18,376
tabler/tabler,35134,2018-02-01T09:08:59Z,2023-08-22T17:35:02Z,41,HTML,786,728,2435
photonstorm/phaser,35081,2013-04-12T12:27:51Z,2023-08-22T22:30:17Z,140,JavaScript,4173,4066,18901
google-research/bert,35074,2018-10-25T22:57:34Z,2023-08-22T12:41:49Z,0,Python,1126,350,111
wg/wrk,35026,2012-03-20T11:12:28Z,2023-08-22T21:32:49Z,0,C,389,260,80
dair-ai/Prompt-Engineering-Guide,34998,2022-12-16T16:04:50Z,2023-08-22T23:38:28Z,0,MDX,79,24,940
getsentry/sentry,34930,2010-08-30T22:06:41Z,2023-08-22T21:51:25Z,112,Python,8670,7421,57982
LAION-AI/Open-Assistant,34915,2022-12-13T05:24:17Z,2023-08-22T21:38:08Z,122,Python,1595,1379,3461
preactjs/preact,34899,2015-09-11T02:40:18Z,2023-08-22T21:24:38Z,189,JavaScript,1695,1548,5388
lerna/lerna,34840,2015-12-04T09:36:55Z,2023-08-22T19:43:54Z,220,TypeScript,2498,2177,2653
eugenp/tutorials,34745,2013-04-29T18:26:36Z,2023-08-22T15:18:25Z,0,Java,688,667,28175
ant-design/ant-design-pro,34744,2017-08-25T10:40:44Z,2023-08-22T18:34:32Z,26,TypeScript,9279,8934,2475
alvarotrigo/fullPage.js,34702,2013-09-20T11:58:29Z,2023-08-22T16:43:59Z,88,JavaScript,4022,3857,2155
labmlai/annotated_deep_learning_paper_implementations,34689,2020-08-25T02:29:34Z,2023-08-22T20:00:48Z,0,Jupyter Notebook,101,78,726
pingcap/tidb,34680,2015-09-06T04:01:52Z,2023-08-22T21:28:02Z,175,Go,15704,12362,21345
dylanaraps/pure-bash-bible,34645,2018-06-13T01:39:33Z,2023-08-22T18:42:47Z,0,Shell,75,33,263
nodejs/node-v0.x-archive,34542,2009-05-27T16:29:46Z,2023-08-22T22:36:19Z,0,,6380,6380,2
open-guides/og-aws,34411,2016-07-13T17:30:16Z,2023-08-22T22:21:01Z,0,Shell,224,86,1042
LeCoupa/awesome-cheatsheets,34387,2017-11-09T02:47:15Z,2023-08-22T21:30:40Z,0,JavaScript,70,45,741
AobingJava/JavaFamily,34298,2019-11-12T04:26:18Z,2023-08-21T16:50:47Z,0,,60,60,223
koajs/koa,34296,2013-07-20T18:53:45Z,2023-08-22T23:50:08Z,0,JavaScript,890,853,1184
vlang/v,34291,2019-02-08T02:57:06Z,2023-08-22T15:05:18Z,165,V,7639,6825,15903
sahat/hackathon-starter,34285,2013-11-13T17:24:12Z,2023-08-22T18:24:57Z,15,JavaScript,631,627,2634
pmndrs/zustand,34279,2019-04-09T09:10:06Z,2023-08-22T20:53:39Z,72,TypeScript,600,597,934
iina/iina,34252,2016-12-19T07:18:45Z,2023-08-22T23:24:58Z,42,Swift,3538,1985,3294
Z4nzu/hackingtool,34217,2020-04-11T09:21:31Z,2023-08-23T00:23:07Z,0,Python,292,279,323
airbnb/lottie-android,34179,2016-10-06T22:42:42Z,2023-08-22T21:07:44Z,46,Java,1616,1583,1527
nativefier/nativefier,34111,2015-07-05T05:56:42Z,2023-08-22T22:04:15Z,98,TypeScript,1230,977,1283
chakra-ui/chakra-ui,34088,2019-08-17T14:27:54Z,2023-08-22T23:22:29Z,1000,TypeScript,3365,3213,8976
exacity/deeplearningbook-chinese,34087,2016-12-07T11:46:51Z,2023-08-22T13:13:23Z,7,TeX,200,138,730
GokuMohandas/Made-With-ML,33947,2018-11-05T03:44:27Z,2023-08-23T00:09:31Z,0,Jupyter Notebook,53,53,9
shadowsocks/shadowsocks-android,33924,2012-12-16T13:40:29Z,2023-08-22T23:23:03Z,184,Kotlin,2465,2430,3682
microsoft/TaskMatrix,33920,2023-03-02T09:04:28Z,2023-08-22T23:55:13Z,0,Python,334,131,117
bumptech/glide,33848,2013-07-08T22:52:33Z,2023-08-22T23:25:12Z,45,Java,4306,3865,2916
metabase/metabase,33784,2015-02-02T19:25:47Z,2023-08-22T17:19:39Z,388,Clojure,14622,11707,28020
THUDM/ChatGLM-6B,33541,2023-03-13T12:00:18Z,2023-08-22T23:58:24Z,0,Python,1209,734,362
istio/istio,33538,2016-11-18T23:57:21Z,2023-08-22T14:42:00Z,305,Go,18059,17508,21124
BVLC/caffe,33528,2013-09-12T18:39:48Z,2023-08-22T21:59:23Z,14,C++,4788,3893,4156
NervJS/taro,33435,2018-04-08T09:32:26Z,2023-08-22T15:23:50Z,153,TypeScript,10046,9051,10262
shadowsocks/shadowsocks,33430,2012-04-20T13:10:49Z,2023-08-22T03:38:26Z,2,Python,0,0,1
dbeaver/dbeaver,33422,2015-10-21T08:26:28Z,2023-08-23T00:27:40Z,182,Java,15053,13299,24607
prisma/prisma,33414,2019-06-20T13:33:47Z,2023-08-23T00:26:01Z,164,TypeScript,8972,6231,9674
SheetJS/sheetjs,33411,2012-12-03T19:25:52Z,2023-08-22T19:10:29Z,0,JavaScript,2383,2267,769
zenorocha/clipboard.js,33408,2015-09-18T23:04:55Z,2023-08-22T20:20:28Z,42,JavaScript,616,609,396
adobe/brackets,33400,2011-12-07T21:14:40Z,2023-08-23T00:27:08Z,69,JavaScript,9686,7067,17847
google/leveldb,33365,2014-08-27T21:17:52Z,2023-08-22T20:34:32Z,21,C++,722,522,434
AFNetworking/AFNetworking,33358,2011-05-31T21:28:44Z,2023-08-23T00:28:05Z,40,Objective-C,0,0,2944
unknwon/the-way-to-go_ZH_CN,33345,2013-03-24T17:18:38Z,2023-08-22T22:15:32Z,0,Go,0,0,1425
go-gorm/gorm,33344,2013-10-25T08:31:38Z,2023-08-23T00:21:58Z,2,Go,5261,5035,2626
psf/black,33318,2018-03-14T19:54:45Z,2023-08-23T00:26:48Z,28,Python,2348,2008,1626
jondot/awesome-react-native,33230,2015-03-26T19:58:06Z,2023-08-22T20:21:51Z,0,JavaScript,68,35,2193
gto76/python-cheatsheet,33186,2018-01-25T04:16:53Z,2023-08-22T22:09:51Z,0,Python,62,55,2404
alibaba/arthas,33166,2018-08-29T17:15:57Z,2023-08-23T00:16:09Z,50,Java,1822,1585,1907
QSCTech/zju-icicles,33164,2016-06-28T16:17:32Z,2023-08-22T13:32:04Z,0,HTML,63,56,1437
carbon-app/carbon,33063,2017-06-16T02:50:28Z,2023-08-22T22:02:05Z,215,JavaScript,644,597,1854
cli/cli,33057,2019-10-03T15:24:53Z,2023-08-23T00:03:06Z,110,Go,3660,3230,6830
spf13/cobra,33041,2013-09-03T20:40:26Z,2023-08-22T21:22:11Z,20,Go,1060,904,1003
pyenv/pyenv,33030,2012-08-31T06:57:52Z,2023-08-22T19:44:17Z,80,Roff,1626,1599,3143
formulahendry/955.WLB,33019,2019-03-27T23:53:37Z,2023-08-22T16:25:42Z,0,,246,74,59
satwikkansal/wtfpython,33019,2017-08-28T20:22:19Z,2023-08-22T23:26:39Z,2,Python,180,121,499
freefq/free,33015,2020-06-07T02:48:33Z,2023-08-22T20:55:29Z,0,,537,163,7108
withastro/astro,32916,2021-03-15T17:19:47Z,2023-08-23T00:10:56Z,1000,TypeScript,3087,2988,6110
koalaman/shellcheck,32850,2012-11-17T03:15:11Z,2023-08-22T21:03:09Z,28,Haskell,2455,1535,1912
acmesh-official/acme.sh,32820,2015-12-26T12:56:33Z,2023-08-22T21:58:03Z,40,Shell,2772,1905,5253
n8n-io/n8n,32799,2019-06-22T09:24:21Z,2023-08-22T23:22:21Z,71,TypeScript,1186,1090,9164
appwrite/appwrite,32795,2019-04-08T16:36:25Z,2023-08-22T20:24:33Z,64,TypeScript,2683,2056,15214
gulpjs/gulp,32790,2013-07-04T05:26:06Z,2023-08-22T20:35:32Z,22,JavaScript,1884,1860,1198
jaredpalmer/formik,32746,2017-06-14T19:50:59Z,2023-08-22T21:17:12Z,190,TypeScript,2191,1525,1776
immutable-js/immutable-js,32683,2014-07-02T06:02:29Z,2023-08-22T13:19:53Z,70,TypeScript,1225,1124,1727
xitu/gold-miner,32682,2015-11-04T03:29:13Z,2023-08-22T08:23:40Z,0,,5570,5570,11438
PaddlePaddle/PaddleOCR,32660,2020-05-08T10:38:16Z,2023-08-22T22:18:40Z,6,Python,7780,7179,6080
geekxh/hello-algorithm,32650,2020-05-29T05:47:09Z,2023-08-22T09:18:21Z,0,Java,39,32,409
openai/gym,32590,2016-04-27T14:59:16Z,2023-08-22T21:17:20Z,19,Python,1779,1714,1757
PKUFlyingPig/cs-self-learning,32533,2021-10-20T13:43:42Z,2023-08-22T17:34:49Z,3,HTML,135,68,453
dotnet/aspnetcore,32426,2014-03-11T06:09:42Z,2023-08-22T21:30:50Z,192,C#,30280,27502,52083
Blankj/AndroidUtilCode,32398,2016-07-30T18:18:32Z,2023-08-22T21:40:40Z,117,Java,1543,1274,1430
XingangPan/DragGAN,32302,2023-05-18T10:08:02Z,2023-08-22T23:27:06Z,0,Python,154,41,64
vim/vim,32231,2015-08-18T21:03:56Z,2023-08-22T23:45:12Z,0,Vim Script,7391,6066,18165
google/material-design-lite,32202,2015-01-14T22:01:33Z,2023-08-23T00:08:04Z,14,HTML,2177,1810,2872
XX-net/XX-Net,32146,2015-01-15T09:35:51Z,2023-08-22T20:12:47Z,378,Python,13233,5355,2541
date-fns/date-fns,32133,2014-10-06T10:24:22Z,2023-08-22T16:32:11Z,106,TypeScript,1657,1203,1932
freeCodeCamp/devdocs,32128,2013-10-24T18:16:07Z,2023-08-23T00:21:14Z,0,Ruby,1096,966,5150
Light-City/CPlusPlusThings,32120,2019-07-14T08:45:45Z,2023-08-22T22:59:39Z,0,C++,205,202,310
mitmproxy/mitmproxy,32046,2010-02-16T04:10:13Z,2023-08-23T00:21:37Z,49,Python,3110,2834,10379
typeorm/typeorm,31939,2016-02-29T07:41:14Z,2023-08-22T19:20:40Z,29,TypeScript,7633,5591,5280
junegunn/vim-plug,31820,2013-09-10T14:58:51Z,2023-08-22T22:42:23Z,5,Vim Script,986,873,693
DovAmir/awesome-design-patterns,31754,2018-06-04T17:47:48Z,2023-08-23T00:15:01Z,0,,11,4,104
hpcaitech/ColossalAI,31724,2021-10-28T16:19:44Z,2023-08-22T23:30:28Z,31,Python,1279,1029,2673
shadowsocks/ShadowsocksX-NG,31685,2016-06-10T11:49:00Z,2023-08-22T16:44:37Z,29,Swift,1333,1038,596
netty/netty,31674,2010-11-09T09:22:21Z,2023-08-22T10:23:26Z,0,Java,6197,5658,11234
bilibili/ijkplayer,31588,2013-06-03T04:12:04Z,2023-08-22T14:37:08Z,0,C,5290,2525,2627
denysdovhan/wtfjs,31587,2017-07-14T15:42:12Z,2023-08-22T23:11:09Z,25,JavaScript,106,96,441
bannedbook/fanqiang,31489,2015-01-14T00:34:25Z,2023-08-23T00:08:58Z,2,Kotlin,707,423,1223
apache/airflow,31401,2015-04-13T18:04:58Z,2023-08-22T20:56:39Z,69,Python,7796,7114,20997
zxing/zxing,31395,2011-10-12T14:07:27Z,2023-08-22T19:19:56Z,30,Java,1214,1211,3737
sudheerj/reactjs-interview-questions,31336,2018-05-31T17:17:01Z,2023-08-22T23:58:54Z,0,JavaScript,87,81,439
naptha/tesseract.js,31300,2015-06-24T02:49:52Z,2023-08-22T23:30:50Z,44,JavaScript,602,589,735
Trinea/android-open-project,31278,2014-01-05T15:20:15Z,2023-08-21T11:27:35Z,0,,83,70,958
sickcodes/Docker-OSX,31276,2020-06-04T11:01:37Z,2023-08-22T19:28:43Z,0,Shell,523,242,461
sorrycc/awesome-javascript,31198,2014-07-01T15:59:02Z,2023-08-22T20:10:32Z,0,,85,83,801
testerSunshine/12306,31188,2017-05-17T12:23:40Z,2023-08-22T19:03:17Z,1,Python,682,466,435
aria2/aria2,31144,2010-11-27T09:41:48Z,2023-08-22T20:33:26Z,23,C++,1747,779,5321
fxsjy/jieba,31109,2012-09-29T07:52:01Z,2023-08-22T17:13:19Z,9,Python,830,218,523
TencentARC/GFPGAN,31103,2021-03-19T06:18:20Z,2023-08-22T23:03:35Z,8,Python,354,111,106
mingrammer/diagrams,31021,2020-02-02T15:23:24Z,2023-08-22T21:25:59Z,39,Python,454,180,520
blueimp/jQuery-File-Upload,31011,2010-12-01T15:35:32Z,2023-08-21T16:17:31Z,0,PHP,3308,3259,1265
curl/curl,30995,2010-03-18T22:32:22Z,2023-08-22T20:38:18Z,72,C,4044,4026,30822
carbon-language/carbon-lang,30986,2020-04-27T21:45:16Z,2023-08-22T23:42:34Z,0,C++,540,404,1904
rapid7/metasploit-framework,30981,2011-08-30T06:13:20Z,2023-08-22T21:39:35Z,0,Ruby,5649,5265,71384
atlassian/react-beautiful-dnd,30696,2017-08-09T03:37:15Z,2023-08-22T21:48:36Z,68,JavaScript,1551,1036,804
babysor/MockingBird,30614,2021-08-07T03:53:39Z,2023-08-22T23:09:53Z,1,Python,837,398,188
google/googletest,30603,2015-07-28T15:07:53Z,2023-08-22T17:38:19Z,7,C++,2138,1889,4309
google-research/google-research,30568,2018-10-04T18:42:48Z,2023-08-22T21:54:49Z,0,Jupyter Notebook,1050,287,4175
bayandin/awesome-awesomeness,30495,2014-07-08T05:44:19Z,2023-08-22T23:42:47Z,0,Ruby,63,51,576
yuzu-emu/yuzu,30378,2018-01-03T18:13:57Z,2023-08-23T00:17:58Z,0,C++,4372,3041,25073
ClickHouse/ClickHouse,30350,2016-06-02T08:28:18Z,2023-08-22T23:52:38Z,480,C++,16847,13785,123099
halfrost/LeetCode-Go,30342,2017-07-18T00:06:14Z,2023-08-22T16:44:28Z,4,Go,74,60,1640
markedjs/marked,30314,2011-07-24T13:15:51Z,2023-08-22T22:27:21Z,105,TypeScript,1369,1346,3100
odoo/odoo,30304,2014-05-13T15:38:58Z,2023-08-23T00:08:25Z,0,JavaScript,16526,14384,160517
xkcoding/spring-boot-demo,30280,2017-11-10T06:27:29Z,2023-08-22T23:31:42Z,0,Java,157,71,734
docker/compose,30271,2013-12-09T11:40:58Z,2023-08-22T20:24:01Z,203,Go,7006,6835,4347
bradtraversy/50projects50days,30236,2020-11-16T14:39:01Z,2023-08-22T20:54:49Z,0,CSS,0,0,148
Kong/insomnia,30170,2016-04-23T03:54:26Z,2023-08-22T23:49:40Z,368,JavaScript,3101,2570,4220
certbot/certbot,30155,2014-11-12T02:52:20Z,2023-08-22T09:51:57Z,43,Python,5183,4979,10804
beego/beego,30096,2012-02-29T02:32:08Z,2023-08-22T21:29:24Z,23,Go,3273,3264,4719
hasura/graphql-engine,30078,2018-06-18T07:57:36Z,2023-08-22T20:09:05Z,223,TypeScript,5701,3692,7667
tmux/tmux,30068,2015-06-03T23:32:55Z,2023-08-23T00:19:54Z,34,C,3100,3078,10090
typicode/husky,30043,2014-06-23T12:14:21Z,2023-08-22T22:36:03Z,60,JavaScript,912,883,880
hankcs/HanLP,30030,2014-10-09T06:36:16Z,2023-08-23T00:27:12Z,57,Python,1374,1366,1740
huihut/interview,30011,2018-02-09T09:49:48Z,2023-08-22T22:45:54Z,0,C++,56,40,372
laravel/framework,30010,2013-01-10T21:27:28Z,2023-08-22T23:05:59Z,648,PHP,17253,17249,36070
